feature,importance
HC01_VC122,2.029179187447329e-09
HC02_VC122,5.815538388810087e-05
HC03_VC122,0.000249399319986575
HC04_VC122,7.123626188543929e-07
HC01_VC123,8.261278718181938e-06
HC02_VC123,3.0298449117169473e-05
HC03_VC123,0.0067412573559756505
HC04_VC123,7.204723219189014e-06
HC01_VC124,4.279062378999889e-06
HC02_VC124,4.47844389120559e-05
HC03_VC124,4.372333550803125e-06
HC04_VC124,4.371910953217158e-07
HC01_VC128,0.019938991961947355
HC03_VC128,0.00012427134282877347
HC01_VC129,0.019054820936373514
HC02_VC129,1.386906972623131e-07
HC03_VC129,5.613455892677574e-07
HC04_VC129,9.835650724627096e-06
HC01_VC130,8.504755322652692e-06
HC02_VC130,0.00023131583570757788
HC03_VC130,0.0002722281269097622
HC04_VC130,3.0917228214715596e-07
HC01_VC131,3.7478958243808883e-07
HC02_VC131,3.874363544477993e-05
HC03_VC131,0.00172603795782913
HC04_VC131,0.00041204775339588953
HC01_VC132,1.9591561289167894e-05
HC02_VC132,1.3665464461862177e-06
HC03_VC132,2.0441551398755108e-07
HC04_VC132,9.828964707830004e-06
HC01_VC133,2.545043085750966e-05
HC02_VC133,0.06854204176347069
HC03_VC133,7.171376507979566e-06
HC04_VC133,2.546366848249472e-05
HC01_VC134,2.0762684052293637e-07
HC02_VC134,7.295655068601743e-06
HC03_VC134,0.0033252472771644003
HC04_VC134,2.6180171752385792e-05
HC01_VC138,2.665619134691104e-07
HC02_VC138,0.0011810334639554255
HC03_VC138,5.921130453961087e-06
HC01_VC139,3.8685291552732444e-08
HC02_VC139,3.494401764749975e-05
HC01_VC140,7.555359156689884e-09
HC02_VC140,1.470286692387063e-06
HC01_VC144,3.784344324154695e-08
HC02_VC144,2.527319067262008e-06
HC03_VC144,2.613213901931751e-07
HC01_VC146,1.1316363688874395e-06
HC02_VC146,0.06851180942429458
HC03_VC146,0.0002447187791395093
HC01_VC147,4.1958611786472775e-06
HC02_VC147,1.646395557514169e-05
HC01_VC148,1.6916771527426018e-07
HC02_VC148,2.4911255188150644e-06
HC01_VC150,6.966864249314576e-08
HC02_VC150,1.387789782991806e-07
HC03_VC150,7.164199641343829e-07
HC01_VC151,5.420930643130856e-07
HC02_VC151,5.740093243320639e-07
HC01_VC152,1.067709459563138e-06
HC02_VC152,1.7623984214161783e-05
HC01_VC156,7.875121276090603e-07
HC02_VC156,0.00031929055581076613
HC03_VC156,5.390819470191392e-06
HC01_VC157,1.7343186617948819e-06
HC02_VC157,0.00011266197592667538
HC01_VC158,2.7399032818867225e-05
HC02_VC158,7.995035879428288e-07
HC01_VC159,3.8619942613881296e-07
HC02_VC159,3.943871968976126e-05
HC01_VC160,2.9523167056247647e-06
HC02_VC160,5.89274799561398e-07
HC01_VC161,2.8229366868933148e-05
HC02_VC161,0.06851131077497137
HC01_VC162,0.00012043564886969344
HC02_VC162,0.002040188476267001
HC01_VC166,2.8107550009154254e-06
HC03_VC166,2.61855443218831e-07
HC01_VC167,4.3534062409084806e-07
HC02_VC167,1.8776265062933707e-05
HC03_VC167,2.434166802073659e-06
HC04_VC167,1.2645553114911152e-05
HC01_VC168,1.8977480702525088e-07
HC02_VC168,3.328006100334212e-09
HC03_VC168,1.2019620302880312e-06
HC04_VC168,1.3399070133653413e-05
HC01_VC170,2.5748755064611315e-08
HC02_VC170,2.845749102423365e-07
HC03_VC170,0.001648194302820501
HC04_VC170,1.9919117103402606e-06
HC01_VC171,5.340026427546296e-07
HC02_VC171,0.0685118009545124
HC03_VC171,0.00022531951344523208
HC04_VC171,0.00017971635088208878
HC01_VC172,9.83796129292345e-05
HC02_VC172,2.9167882796606214e-06
HC03_VC172,1.0482072691925064e-05
HC04_VC172,7.0531180210771e-06
HC01_VC173,1.7480854240058178e-05
HC02_VC173,1.9292121132999303e-07
HC03_VC173,0.0001023522974054139
HC04_VC173,5.076400809135896e-07
HC01_VC174,7.074497432810435e-07
HC02_VC174,6.50204198603462e-07
HC03_VC174,6.750843754112601e-08
HC04_VC174,2.0209979617372942e-06
HC01_VC175,9.225870563988357e-06
HC02_VC175,8.621672792265885e-05
HC03_VC175,0.00027096892697505033
HC04_VC175,3.01116550233608e-06
HC01_VC176,2.603779993611132e-06
HC02_VC176,9.82138372770095e-06
HC03_VC176,1.094015634113806e-05
HC04_VC176,1.849190821767339e-05
HC01_VC177,9.312345951336749e-06
HC02_VC177,3.7184980036624608e-06
HC03_VC177,0.00026629451226667134
HC04_VC177,6.659591278082603e-06
HC01_VC178,6.806579776328179e-05
HC02_VC178,3.0467048142214324e-05
HC03_VC178,1.524044273077182e-06
HC04_VC178,9.49543340342311e-06
HC01_VC182,1.1770123931483744e-05
HC03_VC182,0.000514310602582901
HC01_VC183,1.0654848949437428e-05
HC02_VC183,4.540792164018102e-05
HC03_VC183,4.816694871544446e-05
HC04_VC183,7.469892222557524e-05
HC01_VC184,6.401247531564877e-06
HC02_VC184,8.619918728913103e-05
HC03_VC184,0.0003957468109443382
HC04_VC184,2.4415240742733094e-05
HC01_VC185,3.799629516981122e-06
HC02_VC185,7.960175801141685e-06
HC03_VC185,3.1244228133524217e-07
HC04_VC185,8.652769817438991e-07
HC01_VC186,0.00011896834294955491
HC02_VC186,2.4297651341819604e-06
HC03_VC186,2.542179777589823e-05
HC04_VC186,3.897909874662746e-10
HC01_VC187,3.4486337573463204e-07
HC02_VC187,1.0973013843355026e-05
HC03_VC187,1.0132806517616483e-05
HC04_VC187,1.0555003113816685e-07
HC01_VC188,0.0001705749481569515
HC02_VC188,2.2960724310807667e-06
HC03_VC188,1.0793718322785742e-05
HC04_VC188,4.9272046363641406e-05
HC01_VC189,2.6789194264374127e-06
HC02_VC189,5.143793663866967e-06
HC03_VC189,6.654870844477584e-05
HC04_VC189,1.4836919566414073e-05
HC01_VC190,2.4701152208362535e-05
HC02_VC190,8.877823361972783e-05
HC03_VC190,8.966457100104047e-07
HC04_VC190,3.549871264704271e-07
HC01_VC191,0.0002756260065593707
HC02_VC191,6.01688383774851e-11
HC03_VC191,9.915489094147536e-05
HC04_VC191,5.720900104476621e-05
HC01_VC192,4.0976756077043855e-07
HC02_VC192,0.0007462640585409951
HC03_VC192,0.00046596218191135766
HC04_VC192,6.888459962790026e-05
HC01_VC193,8.138561640245772e-08
HC02_VC193,6.249615517800502e-08
HC03_VC193,1.6409835124317524e-05
HC04_VC193,8.496985370232317e-08
HC01_VC194,0.0005073144932982162
HC02_VC194,0.0008817599836963289
HC03_VC194,3.227787658994464e-05
HC04_VC194,8.658757748514701e-06
HC01_VC195,1.3088400543834676e-05
HC02_VC195,2.0965244719577339e-07
HC03_VC195,1.2359367685380881e-06
HC04_VC195,0.0012398895422125605
HC01_VC196,0.00014784076415961367
HC02_VC196,6.788496752492896e-07
HC03_VC196,6.568434792013224e-06
HC04_VC196,5.9147961341198554e-06
HC01_VC197,1.2925308969480559e-05
HC02_VC197,3.2905471757006585e-05
HC03_VC197,0.00023059832157429398
HC04_VC197,5.6360850637981354e-05
HC01_VC198,4.398202071065754e-07
HC02_VC198,3.865838917383728e-08
HC03_VC198,4.662231774864798e-05
HC04_VC198,4.660865022931331e-06
HC01_VC199,1.1521167828036052e-05
HC02_VC199,7.061781947274504e-05
