feature,coeff
YYYY,0.0
FIPS_Combined,0.02154957142076488
GEO.id2,0.0
HC01_VC03,0.26326267502023676
HC02_VC03,-0.8481497103255574
HC03_VC03,0.003617108606929569
HC01_VC04,-0.016785021501397168
HC02_VC04,-0.5116188375882831
HC03_VC04,-54.320066403205246
HC04_VC04,1603.6005722614411
HC01_VC06,0.061077268563225956
HC02_VC06,-0.28592349898472547
HC03_VC06,-78.29129602804737
HC04_VC06,250.2555537391356
HC01_VC07,-0.028997820009279914
HC02_VC07,2.341655921069325
HC03_VC07,-10.076771666330806
HC04_VC07,110.1867467947449
HC01_VC08,-0.07712020476521812
HC02_VC08,4.135972759462938
HC03_VC08,-21.13737653383446
HC04_VC08,209.54212339344951
HC01_VC09,0.8825408016136125
HC02_VC09,-5.411370468134451
HC03_VC09,17.03822751242783
HC04_VC09,748.9428261891394
HC01_VC10,0.574230449310857
HC02_VC10,-5.2041000337667045
HC03_VC10,142.86499708368285
HC04_VC10,85.58063128809906
HC01_VC11,0.19217636456787987
HC02_VC11,-8.144464807644871
HC03_VC11,-54.059006150741176
HC04_VC11,346.6522769259926
HC01_VC12,0.27186994276596577
HC02_VC12,-10.128651586892083
HC03_VC12,211.7642172076159
HC04_VC12,-238.94436776131437
HC01_VC13,0.01712186871292656
HC02_VC13,-2.635871248559074
HC03_VC13,-101.17946410112123
HC04_VC13,-846.4473965293095
HC01_VC14,0.03408071852245104
HC02_VC14,-3.095295452768755
HC03_VC14,25.727893951664484
HC04_VC14,-113.64397560164234
HC01_VC15,0.1063673857117241
HC02_VC15,-5.870694907938342
HC03_VC15,136.197015916222
HC04_VC15,-316.1675619156717
HC01_VC17,-0.003253589684352134
HC02_VC17,1.5525620178435249
HC03_VC17,132.59154403477405
HC04_VC17,-221.90636351254182
HC01_VC18,-0.005083671095005843
HC02_VC18,-1.9716662829032345
HC03_VC18,30.059351881101605
HC04_VC18,-4.8493242615444965
HC01_VC20,0.0
HC02_VC20,0.0
HC01_VC21,-0.0
HC02_VC21,0.0
HC01_VC25,0.0003705772074326978
HC02_VC25,-0.5630422986822882
HC03_VC25,0.000689338294420193
HC01_VC26,-0.0005445719980730891
HC02_VC26,1.6141093691979176
HC03_VC26,52.59722410797309
HC04_VC26,583.1588630157889
HC01_VC27,-0.05637218323818683
HC02_VC27,2.0338109977051837
HC03_VC27,-40.74850480394515
HC04_VC27,-848.7594970548571
HC01_VC28,0.016686282946490553
HC02_VC28,-0.8586726509372152
HC03_VC28,1.7822372774417574
HC04_VC28,15.430171355968133
